PolicyID,CustomerID,ProductLine,Region,Channel,PolicyStartDate,PolicyEndDate,Exposure,Premium,ClaimCount,ClaimAmount,Age,VehicleAge
POL-100000,CUST-51004,Motor,Central,Broker,2022-03-07,2022-10-09,0.414,366.21,0,0.0,19.0,18
POL-100001,CUST-52533,Motor,West,Agent,2023-07-19,2024-01-21,0.747,466.99,1,5985.97,59.0,14
POL-100002,CUST-51974,Motor,South,Agent,2023-04-23,2024-02-13,0.825,714.76,0,0.0,30.0,8
POL-100003,CUST-52350,Commercial,Central,Direct,2022-11-17,2023-09-20,0.375,685.28,0,0.0,58.0,1
POL-100004,CUST-51153,Home,Central,Broker,2022-11-13,2023-10-02,0.283,195.47,0,0.0,50.0,3
POL-100005,CUST-50910,Motor,North,Direct,2023-09-19,2024-09-09,0.58,662.83,1,3918.21,29.0,4
POL-100006,CUST-52167,Motor,North,Broker,2022-03-04,2022-12-01,0.831,848.72,0,0.0,44.0,8
POL-100007,CUST-51897,Liability,South,Online,2023-05-25,2024-04-23,0.738,899.96,0,0.0,20.0,17
POL-100008,CUST-51710,Motor,West,Direct,2022-05-28,2023-04-06,0.776,673.38,0,0.0,58.0,2
POL-100009,CUST-51095,Motor,East,Direct,2022-03-10,2022-10-27,0.552,385.41,1,3898.63,35.0,11
POL-100010,CUST-51841,Motor,East,Broker,2023-01-20,2023-12-23,0.426,484.68,1,1847.88,39.0,6
POL-100011,CUST-51167,Motor,East,Online,2023-12-14,2024-06-20,0.649,640.71,0,0.0,26.0,0
POL-100012,CUST-52670,Commercial,East,Broker,2023-06-22,2024-04-08,0.403,781.06,0,0.0,38.0,12
POL-100013,CUST-52127,Commercial,West,Direct,2023-07-10,2024-06-28,0.795,1305.22,1,2893.82,40.0,14
POL-100014,CUST-51191,Motor,North,Broker,2023-06-08,2024-04-05,0.398,344.44,0,0.0,30.0,19
POL-100015,CUST-52530,Commercial,East,Agent,2023-07-28,2024-07-16,0.468,539.02,0,0.0,73.0,10
POL-100016,CUST-50213,Motor,South,Direct,2023-01-10,2023-07-19,0.63,523.93,0,0.0,33.0,6
POL-100017,CUST-52492,Commercial,West,Broker,2022-04-04,2023-01-08,0.615,997.23,0,0.0,28.0,17
POL-100018,CUST-51244,Motor,North,Agent,2023-09-06,2024-07-27,0.701,805.31,0,0.0,49.0,4
POL-100019,CUST-50693,Motor,North,Broker,2022-11-25,2023-09-20,0.578,629.12,0,0.0,36.0,13
POL-100020,CUST-52490,Commercial,East,Agent,2023-01-01,2023-12-10,0.94,1443.69,0,0.0,43.0,18
POL-100021,CUST-51974,Liability,East,Online,2022-09-28,2023-06-21,0.88,874.12,0,0.0,59.0,0
POL-100022,CUST-50222,Commercial,East,Direct,2022-05-14,2023-03-16,0.909,953.33,0,0.0,22.0,18
POL-100023,CUST-50801,Home,Central,Agent,2023-11-08,2024-07-23,0.722,423.39,0,0.0,47.0,4
POL-100024,CUST-51353,Commercial,West,Direct,2023-07-25,2024-07-01,0.726,1460.01,0,0.0,19.0,9
POL-100025,CUST-51885,Commercial,South,Direct,2023-04-16,2023-11-04,0.707,1249.37,0,0.0,20.0,5
POL-100026,CUST-52419,Motor,West,Direct,2022-10-21,2023-06-05,0.576,522.56,0,0.0,23.0,2
POL-100027,CUST-51101,Home,East,Broker,2023-08-24,2024-03-08,0.492,397.65,0,0.0,27.0,14
POL-100028,CUST-52426,Home,South,Agent,2023-02-03,2023-12-10,0.694,308.14,0,0.0,37.0,9
POL-100029,CUST-52369,Home,North,Agent,2022-11-20,2023-07-01,0.269,228.54,0,0.0,71.0,10
POL-100030,CUST-51134,Commercial,North,Direct,2022-11-25,2023-07-21,0.256,441.64,0,0.0,69.0,9
POL-100031,CUST-52812,Home,South,Direct,2022-06-15,2023-05-16,0.889,390.96,0,0.0,23.0,14
POL-100032,CUST-52832,Motor,Central,Direct,2022-03-09,2022-11-10,0.285,289.22,0,0.0,74.0,19
POL-100033,CUST-50869,Motor,East,Agent,2023-02-09,2023-09-04,0.644,415.03,0,0.0,54.0,10
POL-100034,CUST-51669,Commercial,East,Online,2023-10-11,2024-04-11,0.711,1183.24,1,10767.32,49.0,3
